step,time,x,y,z,qpos_hip_p_l,qpos_hip_r_l,qpos_hip_y_l,qpos_knee_p_l,qpos_ank_p_l,qpos_ank_r_l,qpos_hip_p_r,qpos_hip_r_r,qpos_hip_y_r,qpos_knee_p_r,qpos_ank_p_r,qpos_ank_r_r,qvel_hip_p_l,qvel_hip_r_l,qvel_hip_y_l,qvel_knee_p_l,qvel_ank_p_l,qvel_ank_r_l,qvel_hip_p_r,qvel_hip_r_r,qvel_hip_y_r,qvel_knee_p_r,qvel_ank_p_r,qvel_ank_r_r,tau_hip_p_l,tau_hip_r_l,tau_hip_y_l,tau_knee_p_l,tau_ank_p_l,tau_ank_r_l,tau_hip_p_r,tau_hip_r_r,tau_hip_y_r,tau_knee_p_r,tau_ank_p_r,tau_ank_r_r,action_hip_p_l,action_hip_r_l,action_hip_y_l,action_knee_p_l,action_ank_p_l,action_ank_r_l,action_hip_p_r,action_hip_r_r,action_hip_y_r,action_knee_p_r,action_ank_p_r,action_ank_r_r,cmd_vx,cmd_vy,cmd_vyaw,fall
20,0.5200,-0.1616,0.0310,0.6088,-0.6799,-0.0567,0.0100,1.1404,-0.2553,0.0767,-0.5938,0.0020,0.0233,0.9843,-0.1708,0.0439,1.0826,0.0044,-0.0995,0.2646,-0.4030,0.1036,0.8793,0.0362,-0.1524,0.5851,-0.1156,-0.1013,12.36,33.35,-36.37,-65.67,-38.90,-9.12,-22.77,-12.31,-3.94,4.15,-36.23,2.81,-0.6620,1.1367,-1.3999,0.0515,-2.1919,-0.0856,-1.7551,-0.4908,-0.0997,1.3209,-1.7167,0.3424,0.50,0.00,0.00,0
21,0.5400,-0.1646,0.0301,0.6061,-0.6692,-0.0613,0.0076,1.1432,-0.2516,0.0699,-0.5867,0.0007,0.0236,0.9973,-0.1782,0.0486,0.3059,-0.5321,-0.2660,0.1726,0.4417,1.6827,0.1227,-0.2725,-0.0298,0.9184,-0.3936,0.3297,16.32,40.44,-36.67,-63.45,-45.03,1.56,-33.90,-10.82,-2.18,16.63,-32.53,0.55,-0.5890,1.2957,-1.5173,0.1131,-2.5292,0.2115,-2.2730,-0.4631,-0.0233,1.7377,-1.5620,0.2987,0.50,0.00,0.00,0
22,0.5600,-0.1689,0.0300,0.6022,-0.6678,-0.0655,0.0100,1.1473,-0.2440,0.0742,-0.5919,-0.0009,0.0295,1.0164,-0.1816,0.0539,-0.2213,-0.1159,-0.2989,0.4903,0.2690,-0.5947,-0.4436,-0.0218,-0.2002,1.1247,-0.1138,0.2217,27.91,55.43,-55.74,-65.19,-43.55,3.31,-42.23,-14.15,-12.35,35.26,-28.26,2.00,-0.1395,1.9130,-2.0584,0.0654,-2.4056,0.6703,-2.7349,-0.6772,-0.3389,2.3844,-1.2326,0.3921,0.50,0.00,0.00,0
23,0.5800,-0.1743,0.0291,0.5972,-0.6786,-0.0723,0.0084,1.1606,-0.2359,0.0721,-0.6068,-0.0067,0.0271,1.0441,-0.1839,0.0568,-0.6542,-0.2286,-0.4652,0.7626,0.3003,-0.8836,-0.8213,-0.0014,-0.2526,1.4048,-0.1543,0.0856,40.20,65.07,-67.32,-75.57,-41.78,10.81,-46.12,-17.61,-18.68,59.46,-22.71,3.45,0.2072,2.2608,-2.7054,-0.0866,-2.2654,0.9288,-2.9960,-0.7441,-0.6561,3.1435,-0.8758,0.4757,0.50,0.00,0.00,0
24,0.6000,-0.1817,0.0289,0.5902,-0.7018,-0.0744,0.0127,1.1813,-0.2312,0.0746,-0.6367,-0.0086,0.0299,1.0789,-0.1849,0.0567,-1.4953,-0.2007,-0.2329,1.3706,0.1710,-0.5737,-1.7215,0.0537,-0.0583,2.0250,-0.1144,-0.0515,52.31,73.69,-81.38,-79.84,-37.33,12.25,-52.36,-24.60,-20.88,90.26,-16.09,5.15,0.4645,2.6569,-3.2183,-0.0258,-1.9985,1.1660,-3.4954,-1.0088,-0.7355,4.1628,-0.4325,0.5634,0.50,0.00,0.00,0
25,0.6200,-0.1913,0.0282,0.5806,-0.7442,-0.0740,0.0161,1.2169,-0.2275,0.0678,-0.6835,-0.0081,0.0313,1.1243,-0.1867,0.0545,-2.8138,-0.3626,-0.5386,2.4813,0.4676,-3.8694,-2.4893,-0.0103,-0.2948,2.4877,-0.2792,-0.1158,49.30,63.46,-76.66,-73.54,-30.80,11.01,-43.92,-22.41,-23.82,95.93,-6.57,6.17,0.0357,2.2679,-3.0438,0.3703,-1.5575,1.0550,-3.4658,-0.9007,-0.8798,4.5600,0.1622,0.6080,0.50,0.00,0.00,0
26,0.6400,-0.2019,0.0279,0.5696,-0.7908,-0.0718,0.0232,1.2568,-0.2240,0.0756,-0.7350,-0.0042,0.0375,1.1728,-0.1933,0.0514,-2.0893,0.9808,2.2177,1.4354,0.2455,2.8397,-2.6733,1.1791,2.2770,1.4427,-0.3516,-0.2135,55.67,47.26,-60.48,-73.75,-30.99,12.09,-45.62,-12.33,-16.60,72.91,-14.59,4.78,0.1137,1.5975,-2.3922,0.5270,-1.5286,0.8756,-3.7235,-0.4627,-0.5324,4.1519,-0.4290,0.4970,0.50,0.00,0.00,0
27,0.6600,-0.2104,0.0266,0.5589,-0.8240,-0.0746,0.0208,1.2968,-0.2215,0.0716,-0.7684,-0.0043,0.0360,1.2200,-0.2020,0.0498,-0.9412,-0.0373,0.6150,1.6030,0.1091,-0.0540,-1.1789,-0.4585,0.0251,2.3091,-0.4232,-0.0008,49.11,49.21,-66.36,-67.56,-28.79,6.61,-33.97,-9.59,-6.22,43.16,-16.23,4.06,-0.1370,1.6206,-2.6604,0.8199,-1.3775,0.6831,-3.2231,-0.3992,-0.1648,3.5037,-0.5777,0.4700,0.50,0.00,0.00,0
28,0.6800,-0.2176,0.0256,0.5491,-0.8445,-0.0784,0.0167,1.3327,-0.2190,0.0702,-0.7874,-0.0065,0.0307,1.2608,-0.2079,0.0515,-0.8657,-0.3528,-0.5533,1.6803,0.1725,-0.5043,-0.7257,0.0619,-0.3124,1.9084,-0.1918,0.1130,26.74,36.90,-38.22,-57.80,-32.42,7.75,-33.26,-7.58,-0.23,8.84,-21.23,-0.28,-1.0537,1.1711,-1.5510,1.2243,-1.6352,0.7117,-3.2028,-0.2965,0.0376,2.7157,-0.8935,0.2110,0.50,0.00,0.00,0
29,0.7000,-0.2237,0.0249,0.5403,-0.8583,-0.0843,0.0122,1.3657,-0.2149,0.0691,-0.7980,-0.0101,0.0261,1.2962,-0.2095,0.0532,-0.5032,-0.4530,-0.5828,1.4846,0.2776,-0.2413,-0.2769,-0.0555,-0.3557,1.6178,-0.1033,0.0729,17.50,17.56,-16.91,-63.58,-40.61,11.39,-34.01,0.62,-4.57,-20.63,-22.67,-2.37,-1.4602,0.3340,-0.7424,1.2094,-2.0871,0.4999,-3.2100,0.0043,-0.1505,2.0311,-0.9689,0.0700,0.50,0.00,0.00,0
