step,time,x,y,z,qpos_hip_p_l,qpos_hip_r_l,qpos_hip_y_l,qpos_knee_p_l,qpos_ank_p_l,qpos_ank_r_l,qpos_hip_p_r,qpos_hip_r_r,qpos_hip_y_r,qpos_knee_p_r,qpos_ank_p_r,qpos_ank_r_r,qvel_hip_p_l,qvel_hip_r_l,qvel_hip_y_l,qvel_knee_p_l,qvel_ank_p_l,qvel_ank_r_l,qvel_hip_p_r,qvel_hip_r_r,qvel_hip_y_r,qvel_knee_p_r,qvel_ank_p_r,qvel_ank_r_r,tau_hip_p_l,tau_hip_r_l,tau_hip_y_l,tau_knee_p_l,tau_ank_p_l,tau_ank_r_l,tau_hip_p_r,tau_hip_r_r,tau_hip_y_r,tau_knee_p_r,tau_ank_p_r,tau_ank_r_r,action_hip_p_l,action_hip_r_l,action_hip_y_l,action_knee_p_l,action_ank_p_l,action_ank_r_l,action_hip_p_r,action_hip_r_r,action_hip_y_r,action_knee_p_r,action_ank_p_r,action_ank_r_r,cmd_vx,cmd_vy,cmd_vyaw,fall
20,0.5200,0.1046,-0.0383,0.5859,-1.0576,0.0109,0.0399,1.3126,-0.3489,-0.0441,-0.4910,0.0231,-0.0182,1.2444,-0.6785,-0.0150,0.5508,0.7123,0.7385,-1.3344,-0.6485,0.8505,0.0770,-0.0850,-0.8144,1.4325,-0.0654,0.5024,14.41,-0.45,-1.29,15.45,0.64,-0.22,-21.07,-28.26,3.56,-28.96,40.11,-6.34,-2.1757,0.1324,0.2238,2.6821,-0.0759,-0.0208,-1.3943,-1.0535,-0.0562,1.5844,1.3588,-0.3806,0.50,0.00,0.00,0
21,0.5400,0.1114,-0.0380,0.5810,-1.0506,0.0232,0.0502,1.2983,-0.3713,-0.0180,-0.5091,0.0218,-0.0344,1.2977,-0.6593,-0.0168,0.3240,0.4277,0.3235,-0.2952,-1.2164,1.2059,-1.0465,-0.2104,-0.9567,2.7273,1.7918,-0.7844,2.88,-3.22,-0.10,10.08,0.57,-0.37,-7.93,-20.65,2.17,-5.14,50.00,0.74,-2.6386,0.0354,0.2516,2.6143,-0.2836,0.1444,-1.1144,-0.7687,-0.1981,2.5932,2.8652,-0.1765,0.50,0.00,0.00,0
22,0.5600,0.1179,-0.0370,0.5752,-1.0435,0.0258,0.0508,1.2901,-0.4030,0.0143,-0.5347,0.0242,-0.0428,1.3598,-0.6342,-0.0271,0.3910,-0.0822,-0.1714,-0.4743,-1.5970,1.4720,-1.3044,0.2270,-0.3040,3.1114,1.1478,-0.4168,-4.98,-4.62,1.68,2.87,0.37,-0.51,-1.61,-13.55,6.30,-6.19,50.00,5.04,-2.9155,-0.0880,0.2500,2.3783,-0.4998,0.3173,-1.0033,-0.4135,0.0333,2.8667,3.2442,0.1436,0.50,0.00,0.00,0
23,0.5800,0.1248,-0.0353,0.5696,-1.0455,0.0183,0.0389,1.3066,-0.3896,0.0660,-0.5585,0.0278,-0.0467,1.4203,-0.6045,-0.0303,-0.3166,-0.3988,-0.6204,1.4068,1.4799,0.6070,-0.9089,0.0492,-0.0342,2.3926,3.4485,1.1334,5.54,-0.70,2.04,-18.92,-10.61,-4.34,-0.33,-10.42,6.93,-7.33,50.00,8.12,-2.6025,-0.0202,0.1336,2.0872,-0.5960,0.2116,-1.0078,-0.2828,0.0627,3.0600,3.3976,0.3702,0.50,0.00,0.00,0
24,0.6000,0.1322,-0.0333,0.5647,-1.0504,0.0111,0.0286,1.3355,-0.3662,0.0703,-0.5733,0.0312,-0.0472,1.4715,-0.5545,-0.0096,-0.0959,-0.3301,-0.4466,1.3633,0.9276,0.1892,-0.6726,0.1631,-0.0055,2.5950,2.0531,0.9638,11.60,-3.69,1.22,-26.58,-12.30,-1.05,-8.63,-4.61,1.54,-6.93,50.00,6.54,-2.3583,-0.1547,0.0929,2.0076,-0.6984,0.2477,-1.3432,-0.0338,-0.1272,3.2257,3.6323,0.5859,0.50,0.00,0.00,0
25,0.6200,0.1397,-0.0311,0.5609,-1.0474,0.0046,0.0196,1.3543,-0.3318,0.0748,-0.5969,0.0351,-0.0464,1.5361,-0.5048,0.0082,0.3619,-0.3226,-0.4758,0.6994,1.9982,0.2016,-1.2180,0.2267,0.0226,3.2599,2.9333,0.8286,30.94,-1.92,-9.27,-28.83,-14.44,2.22,-27.48,2.05,-2.72,-6.76,50.00,8.52,-1.5047,-0.1077,-0.3638,1.9409,-0.5089,0.4871,-2.2764,0.2560,-0.2895,3.5793,3.8895,0.7620,0.50,0.00,0.00,0
26,0.6400,0.1465,-0.0287,0.5571,-1.0475,-0.0056,0.0099,1.3725,-0.3011,0.0790,-0.6297,0.0373,-0.0441,1.5964,-0.4544,0.0181,-0.2156,-0.6090,-0.4614,1.0234,1.2820,0.2261,-1.8880,-0.0269,0.1359,2.5443,2.7335,0.5072,30.74,0.03,-15.07,-23.13,-14.18,2.59,-37.82,-1.16,0.86,1.25,26.24,5.16,-1.5872,-0.1134,-0.6351,2.1987,-0.4963,0.5323,-2.9113,0.0975,-0.1261,3.9805,1.7804,0.4746,0.50,0.00,0.00,0
27,0.6600,0.1513,-0.0258,0.5523,-1.0597,-0.0153,0.0042,1.3945,-0.2817,0.0835,-0.6853,0.0342,-0.0404,1.6373,-0.4605,0.0182,-1.1354,-0.1305,0.0114,1.6893,-1.1719,0.2457,-3.4614,-0.2354,0.1879,1.5890,-0.2937,0.0143,41.92,6.19,-29.07,-41.49,-9.73,3.20,-43.64,-4.68,1.65,4.89,-4.54,0.15,-1.3221,0.1561,-1.1554,1.8729,-0.5353,0.5920,-3.5929,-0.0829,-0.0673,4.0906,-0.8006,0.0858,0.50,0.00,0.00,0
28,0.6800,0.1546,-0.0230,0.5475,-1.0806,-0.0150,0.0067,1.4259,-0.3040,0.0880,-0.7585,0.0294,-0.0364,1.6597,-0.4786,0.0199,-0.9000,0.0758,0.1935,1.4358,-0.9616,0.2179,-3.7600,-0.2626,0.1960,0.8264,-0.8741,0.0795,43.45,9.99,-40.88,-53.04,-6.43,2.56,-28.22,-4.08,2.57,6.86,-9.66,0.76,-1.3273,0.3504,-1.5810,1.6724,-0.4344,0.5649,-3.3333,-0.0844,-0.0130,4.1323,-1.3269,0.1461,0.50,0.00,0.00,0
29,0.7000,0.1581,-0.0208,0.5433,-1.0941,-0.0131,0.0101,1.4531,-0.3225,0.0917,-0.8331,0.0253,-0.0332,1.6748,-0.5002,0.0217,-0.4441,0.0764,0.1421,1.2918,-0.8950,0.1687,-3.6059,-0.1831,0.1300,0.6443,-1.0421,0.0837,38.63,13.73,-44.83,-61.00,-10.41,1.47,-19.19,-2.84,1.94,10.10,-10.96,0.81,-1.5081,0.5096,-1.7299,1.5496,-0.7568,0.4976,-3.2545,-0.0407,-0.0347,4.2529,-1.5332,0.1566,0.50,0.00,0.00,0
